test_rod_01.TIFuCcm-2_widths [nm],test_rod_01.TIFuCcm-2_lengths [nm],test_rod_02.TIFuCcm-2_widths [nm],test_rod_02.TIFuCcm-2_lengths [nm],test_rod_03.TIFuCcm-2_widths [nm],test_rod_03.TIFuCcm-2_lengths [nm],test_rod_04.TIFuCcm-2_widths [nm],test_rod_04.TIFuCcm-2_lengths [nm]
106.08000000000001,388.3176,106.08000000000001,388.3176,106.08000000000001,347.1324,118.32000000000001,
106.08000000000001,388.3176,106.08000000000001,388.3176,106.08000000000001,388.3176,118.32000000000001,
106.08000000000001,388.3176,106.08000000000001,388.3176,106.08000000000001,388.3176,119.68,
106.08000000000001,388.3176,106.08000000000001,388.3176,106.08000000000001,388.3176,119.68,
106.08000000000001,388.3176,106.08000000000001,388.3176,106.08000000000001,388.3176,119.68,
106.08000000000001,388.3176,106.08000000000001,388.3176,106.08000000000001,388.3176,119.68,
106.08000000000001,388.3176,106.08000000000001,388.3176,106.08000000000001,388.3176,121.04,
106.08000000000001,388.3176,106.08000000000001,388.3176,106.08000000000001,386.8467,122.4,
106.08000000000001,388.3176,106.08000000000001,388.3176,106.08000000000001,385.3758,121.04,
106.08000000000001,388.3176,106.08000000000001,388.3176,106.08000000000001,385.3758,122.4,
106.08000000000001,388.3176,106.08000000000001,388.3176,106.08000000000001,385.3758,122.4,
106.08000000000001,388.3176,106.08000000000001,388.3176,106.08000000000001,385.3758,122.4,
106.08000000000001,388.3176,106.08000000000001,388.3176,106.08000000000001,385.3758,122.4,
106.08000000000001,388.3176,106.08000000000001,388.3176,106.08000000000001,382.434,122.4,
106.08000000000001,388.3176,106.08000000000001,388.3176,106.08000000000001,382.434,122.4,
106.08000000000001,388.3176,106.08000000000001,388.3176,106.08000000000001,382.434,122.4,
106.08000000000001,388.3176,106.08000000000001,388.3176,106.08000000000001,379.4922,123.76,
106.08000000000001,388.3176,106.08000000000001,388.3176,106.08000000000001,379.4922,122.4,
106.08000000000001,388.3176,106.08000000000001,388.3176,106.08000000000001,379.4922,122.4,
106.08000000000001,388.3176,106.08000000000001,388.3176,106.08000000000001,376.5504,122.4,
106.08000000000001,388.3176,106.08000000000001,388.3176,106.08000000000001,376.5504,122.4,
106.08000000000001,388.3176,106.08000000000001,388.3176,106.08000000000001,373.6086,122.4,
106.08000000000001,388.3176,106.08000000000001,388.3176,106.08000000000001,373.6086,122.4,
106.08000000000001,388.3176,106.08000000000001,388.3176,106.08000000000001,370.6668,122.4,
106.08000000000001,388.3176,106.08000000000001,388.3176,106.08000000000001,370.6668,122.4,
106.08000000000001,388.3176,106.08000000000001,388.3176,106.08000000000001,367.725,123.76,
106.08000000000001,388.3176,106.08000000000001,388.3176,106.08000000000001,364.7832,122.4,
106.08000000000001,388.3176,106.08000000000001,388.3176,106.08000000000001,361.8414,123.76,
106.08000000000001,388.3176,106.08000000000001,388.3176,106.08000000000001,361.8414,122.4,
106.08000000000001,388.3176,106.08000000000001,388.3176,106.08000000000001,358.8996,122.4,
106.08000000000001,388.3176,106.08000000000001,388.3176,106.08000000000001,355.9578,122.4,
106.08000000000001,388.3176,106.08000000000001,388.3176,106.08000000000001,353.016,122.4,
106.08000000000001,388.3176,106.08000000000001,388.3176,106.08000000000001,350.0742,122.4,
106.08000000000001,388.3176,106.08000000000001,388.3176,106.08000000000001,347.1324,122.4,
106.08000000000001,388.3176,106.08000000000001,388.3176,106.08000000000001,,123.76,
106.08000000000001,388.3176,106.08000000000001,385.3758,106.08000000000001,,122.4,
106.08000000000001,388.3176,106.08000000000001,385.3758,106.08000000000001,,123.76,
106.08000000000001,388.3176,106.08000000000001,385.3758,106.08000000000001,,122.4,
